cantor,code,titulo,inicio da letra,p
Amado Batista,15268,QUEM É VOCÊ,Quem é você que me escreve cartas de amor,24C
Amado Batista,15412,IMPÉRIO DOS SENTIDOS,Eu venho num sonho bonito das cores,25C
Amado Batista,15562,AGORA OU NUNCA MAIS,Sou um amor passageiro que está,26C
Amado Batista,15633,TRAVESSEIRO AZUL,Tanto faz se é noite ou dia uma luz me,26D
Amado Batista,3856,PRINCESA,Ao te ver pela primeira vez,2F
Amado Batista,16141,O NEGÓCIO DA CHINA,Eu vou levar você pra comer no meu apê,30A
Amado Batista,16515,FOLHA SECA,Fazia um dia bonito quando ela chegou,32B
Amado Batista,4060,24 HORAS NO AR,Pare de pensar em besteira,3C
Amado Batista,4230,COMO NA PRIMEIRA VEZ,Quando o amor nos acontece,3H
Amado Batista,4327,O POBRETÃO,Que pena que eu não posso ser...,4B
Amado Batista,6353,SECRETÁRIA (ASSÉDIO SEXUAL),Ela chega tão meiga e tão bela...,5G
Amado Batista,6625,O FRUTO DO NOSSO AMOR (AMOR PERFEITO),Amor perfeito existia entre nós dois…,6F
Amado Batista,6941,MEU EX-AMOR,Eu tive um amor amor tão bonito…,8A
Amado Batista,6975,RECLAMANDO SUA AUSÊNCIA,Eu sei Foi o amor que fez…,8A
Amado Batista,7129,EU SOU SEU FÃ,Quando você me quiser quando resolver,9A
Amado Batista,16630,SERENATA,Ah como eu queria,33A
Amado Batista Amado,16347,CHANCE,Quero te dizer baixinho com todo carinho,31B
Amanda Magalhaes - Seu Jorge,16680,SAIBA,Amar voce e tao facil,33B
Amane Kaoru,18279,TAIYOH NO UTA,Furuete iru watashi no te ni hajimete,JP6B
Amelinha,9288,"MULHER NOVA, BONITA E CARINHOSA",Numa luta de gregos e troianos,12B
Amelinha,3796,FREVO MULHER,"Quantos aqui ouvem, os olhos",2E
Amelinha,3876,FOI DEUS QUEM FEZ VOCÊ,Foi Deus que fez o céu o rancho das,2G
America,9083,A HORSE WITH NO NAME,On the first part of the journey….,"INT02, 8E"
America,5997,VENTURA HIGHWAY,Chewing on a piece of grass,"INT03, USA3B"
America,5935,LONELY PEOPLE,This is for all the lonely people,"INT03, USA3C"
America,5918,I NEED YOU,We used to laugh we used to cry,"INT03, USA3D"
America,2558,TIN MAN,Sometimes late when things are real,INT04B
America,2630,SISTER GOLDEN HAIR,Well I tried to make it Sunday,INT04D
Ami Suzuki,5658,ALONE IN MY ROOM,Tanoshii kamo ne sou iu hitori...,JP3
Amii Stewart,4929,KNOCK ON WOOD,I don't want to lose you...,"INT01, USA2B"
Amin,2223,MATSU WA,Kawaii furi shite ano ko wari to yaru ,JP5A
Amuro Namie,5294,STOP THE MUSIC,Take a brake...,JP1
Amuro Namie,5300,TRY ME (WATASHI O SHINDITE),Dyuwaki no mukou anantano koe...,JP1
Amuro Namie,5340,CAN YOU CELEBRATE,Can you celebrate? can you kiss me…,JP2
Amuro Namie,5341,CHASE THE CHANCE,Sonna jyanaiyo tanoshii dake…,JP2
Amuro Namie,5711,I HAVE NEVER SEEN,Hajimete no kissu no koto...,JP3
Amuro Namie,5766,NEVER END,Tooi mirai datta tooi kuni datta...,JP3
Amuro Namie,5798,SAY THE WORD,Eien ni tsuzuku michi touku hatesh...,JP3
Amuro Namie,5820,THINK OF ME,Wakari aeru mainichi ni...,JP3
Amuro Namie,5838,WISHING ON THE SAME STAR,Kokoro kara anata o omou...,JP3
