cantor,code,titulo
Amado Batista,6625,O FRUTO DO NOSSO AMOR (AMOR PERFEITO)
Amado Batista,6941,MEU EX-AMOR
Amado Batista,6975,RECLAMANDO SUA AUSÊNCIA
Amado Batista,7129,EU SOU SEU FÃ
Amado Batista,16630,SERENATA
Amado Batista Amado,16347,CHANCE
Amanda Magalhaes - Seu Jorge,16680,SAIBA
Amane Kaoru,18279,TAIYOH NO UTA
Amelinha,9288,"MULHER NOVA, BONITA E CARINHOSA"
Amelinha,3796,FREVO MULHER
Amelinha,3876,FOI DEUS QUEM FEZ VOCÊ
America,9083,A HORSE WITH NO NAME
America,5997,VENTURA HIGHWAY
America,5935,LONELY PEOPLE
America,5918,I NEED YOU
America,2558,TIN MAN
America,2630,SISTER GOLDEN HAIR
Ami Suzuki,5658,ALONE IN MY ROOM
Amii Stewart,4929,KNOCK ON WOOD
Amin,2223,MATSU WA
Amuro Namie,5294,STOP THE MUSIC
Amuro Namie,5300,TRY ME (WATASHI O SHINDITE)
Amuro Namie,5340,CAN YOU CELEBRATE
Amuro Namie,5341,CHASE THE CHANCE
Amuro Namie,5711,I HAVE NEVER SEEN
Amuro Namie,5766,NEVER END
Amuro Namie,5798,SAY THE WORD
Amuro Namie,5820,THINK OF ME
Amuro Namie,5838,WISHING ON THE SAME STAR
Amuro Namie,18536,FIGHT TOGETHER
Amuro Namie ,18620,HERO
Amy Grant,19384,I'LL BE HOME FOR CHRISTMAS
Amy Lee,19762,DREAM TOO MUCH
Amy Winehouse,5959,REHAB
Amy Winehouse,5985,TEARS DRY ON THEIR OWN
Amy Winehouse,2541,BACK TO BLACK
Amy Winehouse,2546,LOVE IS A LOSING GAME
Amy Winehouse,2550,YOU KNOW I'M NO GOOD
Amy Winehouse,19596,VALERIE
An Cafe,18425,NATSU KOI NATSU GAME
An Ri,2379,OLIVIA O KIKINAGARA
Ana Canãs,1552,ESCONDERIJO
Ana Cañas,1981,A ANA
Ana Cañas,15272,SERÁ QUE VOCÊ ME AMA?
Ana Cañas,15885,TE VER FELIZ
Ana Carolina,7348,ELEVADOR (LIVRO DE ESQUECIMENTO)
Ana Carolina,7629,MAIS QUE ISSO
Ana Carolina,7694,ROSAS
Ana Carolina,7891,A CANÇÃO TOCOU NA HORA ERRADA
Ana Carolina,7975,HOJE EU TÔ SOZINHA
Ana Carolina,7921,CARVÃO
Ana Carolina,7932,CONFESSO
Ana Carolina,9334,RUAS DE OUTONO
Ana Carolina,9488,NADA PRA MIM
Ana Carolina,9393,AQUI
Ana Carolina,9443,É MÁGOA
Ana Carolina,9521,QUE SE DANEM OS NÓS
Ana Carolina,9676,EU QUE NÃO SEI QUASE NADA DO MAR
Ana Carolina,9898,TOLERÂNCIA
Ana Carolina,1179,VAI
Ana Carolina,1481,10 MINUTOS
Ana Carolina,1654,DOIS BICUDOS
Ana Carolina,2739,PROBLEMAS
Ana Carolina,2818,"TÁ RINDO, É?"
Ana Carolina,2931,SIMPLESMENTE ACONTECEU
Ana Carolina,15288,COMBUSTÍVEL
Ana Carolina,15701,LIBIDO
Ana Carolina,16025,COISAS
Ana Carolina,16544,NÃO TEM NO MAPA
Ana Carolina,4316,GARGANTA
Ana Carolina,6109,QUEM DE NÓS DOIS
Ana Carolina,6413,ELA É BAMBA
Ana Carolina,6694,ENCOSTAR NA TUA
Ana Carolina,6757,UMA LOUCA TEMPESTADE
Ana Carolina,6827,NUA
Ana Carolina,6870,PRA RUA ME LEVAR
